Temperature,Humidity,Sunlight,Moisture,Air Quality,Output
23,55,1,54,147,PEAR
17,52,1,74,50,POMEGRANATE
27,58,1,59,31,ORANGE
22,51,0,71,100,BLUEBERRY
25,56,1,63,151,ORANGE
22,56,1,63,91,MOUSAMBI
31,62,1,56,127,BANANA
25,66,0,55,77,LEMON
26,61,1,20,13,MANGO
20,62,1,72,81,MOUSAMBI
27,77,0,75,96,JAMUN
30,76,1,24,62,MANGO
18,54,0,73,89,CHERRIES
22,69,1,61,52,MOUSAMBI
43,60,1,62,61,GRAPE
20,62,1,61,179,KIWI
21,62,1,72,23,APPLE
14,71,1,60,53,KIWI
15,53,0,78,92,STRAWBERRY
21,59,0,60,70,BLUEBERRY
22,53,1,69,22,APPLE
24,72,1,18,15,MANGO
22,58,0,53,52,CHERRIES
18,57,0,79,40,STRAWBERRY
28,59,1,54,146,ORANGE
24,65,1,70,18,GRAPE
23,65,1,68,33,APPLE
18,40,1,56,89,POMEGRANATE
32,62,1,64,173,BANANA
29,78,0,79,102,JAMUN
21,63,1,54,13,KIWI
23,43,1,75,22,POMEGRANATE
30,50,0,75,10,LEMON
34,57,1,60,52,POMEGRANATE
25,55,0,75,52,STRAWBERRY
29,75,1,72,48,GUAVA
16,56,0,66,48,BLUEBERRY
30,56,0,53,83,LEMON
25,60,0,76,85,STRAWBERRY
20,65,1,55,13,DRAGONFRUIT
28,65,1,59,63,BANANA
20,63,0,52,20,LEMON
21,62,0,72,33,STRAWBERRY
23,67,1,69,46,APPLE
21,61,0,61,98,LEMON
20,61,0,74,16,BLUEBERRY
29,67,1,19,64,MANGO
25,52,0,75,41,LEMON
27,73,1,57,107,BANANA
21,51,0,56,38,CHERRIES
29,69,1,22,92,MANGO
15,59,1,79,79,POMEGRANATE
24,66,1,67,13,MOUSAMBI
21,53,1,60,106,PEAR
17,59,0,62,81,CHERRIES
29,42,1,59,92,POMEGRANATE
17,53,1,63,53,POMEGRANATE
22,61,1,64,127,PEAR
43,63,1,57,17,GRAPE
20,67,0,55,49,LEMON
18,52,0,69,12,BLUEBERRY
36,56,1,51,25,GRAPE
15,69,1,69,172,PEAR
16,57,0,75,20,STRAWBERRY
23,62,0,51,33,BLUEBERRY
19,69,1,62,118,BANANA
23,59,0,75,36,STRAWBERRY
21,67,1,51,116,GUAVA
29,67,1,63,79,GRAPE
23,75,1,72,192,GUAVA
24,53,0,77,90,STRAWBERRY
25,54,1,65,77,MOUSAMBI
24,69,1,53,23,APPLE
21,65,0,78,50,STRAWBERRY
19,60,0,70,42,STRAWBERRY
15,52,0,63,33,CHERRIES
28,51,1,59,97,GRAPE
23,79,1,70,59,GUAVA
29,76,1,64,45,DRAGONFRUIT
30,56,1,51,172,ORANGE
22,61,0,72,46,BLUEBERRY
27,59,1,57,40,ORANGE
30,75,1,51,93,DRAGONFRUIT
35,68,0,79,36,JAMUN
39,53,1,59,35,GRAPE
25,68,1,73,36,ORANGE
23,54,0,78,78,STRAWBERRY
21,67,1,64,19,GRAPE
26,78,1,58,69,DRAGONFRUIT
24,69,1,55,34,BANANA
28,70,1,19,71,MANGO
28,52,1,66,73,ORANGE
34,67,0,61,173,JAMUN
32,73,0,62,118,JAMUN
21,59,0,56,51,CHERRIES
23,62,1,60,16,DRAGONFRUIT
20,63,0,58,42,BLUEBERRY
25,55,0,71,65,LEMON
27,64,1,65,183,ORANGE
28,68,1,69,186,ORANGE
34,48,1,50,56,POMEGRANATE
26,80,1,23,37,MANGO
22,59,0,68,99,BLUEBERRY
21,57,1,75,23,APPLE
27,65,1,69,52,ORANGE
23,76,1,61,10,GUAVA
22,55,0,65,94,LEMON
30,59,1,69,123,ORANGE
20,44,1,59,91,POMEGRANATE
23,55,0,53,81,CHERRIES
20,59,1,60,96,POMEGRANATE
18,75,1,72,71,KIWI
27,67,1,18,19,MANGO
24,69,0,64,78,LEMON
30,70,1,50,170,GUAVA
21,61,1,73,46,PEAR
25,76,1,26,89,MANGO
17,75,1,52,51,KIWI
28,69,0,52,81,BLUEBERRY
34,63,0,74,164,JAMUN
18,67,1,54,133,KIWI
23,49,1,54,84,POMEGRANATE
26,54,0,62,90,BLUEBERRY
20,56,0,77,63,STRAWBERRY
23,61,0,76,74,STRAWBERRY
25,66,1,58,94,ORANGE
16,58,1,69,125,PEAR
29,80,0,63,41,JAMUN
26,62,1,30,53,MANGO
20,57,0,75,40,LEMON
24,50,0,75,35,STRAWBERRY
19,68,0,75,44,STRAWBERRY
27,69,1,64,96,ORANGE
25,78,1,17,29,MANGO
25,61,1,34,34,MANGO
29,59,1,55,17,POMEGRANATE
19,75,1,70,89,KIWI
23,57,1,59,69,MOUSAMBI
35,75,0,74,172,JAMUN
25,68,0,63,39,LEMON
28,69,0,59,45,LEMON
28,64,0,72,81,JAMUN
24,58,1,67,67,MOUSAMBI
22,66,1,69,66,DRAGONFRUIT
26,69,1,54,191,ORANGE
27,78,0,62,20,JAMUN
24,65,1,55,20,APPLE
30,73,0,61,62,JAMUN
34,66,1,58,127,BANANA
27,56,1,71,56,POMEGRANATE
23,63,1,66,52,MOUSAMBI
20,53,0,74,80,STRAWBERRY
20,60,0,69,26,CHERRIES
23,68,0,53,66,BLUEBERRY
23,62,1,56,190,KIWI
18,69,1,72,133,PEAR
29,73,1,71,137,GUAVA
21,53,1,70,25,APPLE
20,60,1,63,91,DRAGONFRUIT
16,59,0,54,66,CHERRIES
16,60,1,55,77,BANANA
16,58,0,73,56,CHERRIES
28,61,0,72,34,LEMON
29,57,1,56,190,ORANGE
26,79,1,15,84,MANGO
25,63,0,61,99,LEMON
28,61,1,57,28,ORANGE
21,60,1,62,42,APPLE
22,68,1,56,51,DRAGONFRUIT
32,66,0,68,31,JAMUN
24,71,1,57,187,BANANA
23,73,1,74,98,KIWI
21,65,1,62,27,APPLE
22,63,0,75,38,BLUEBERRY
26,68,0,75,151,JAMUN
29,74,1,55,132,GUAVA
15,62,1,60,56,KIWI
25,71,1,58,89,BANANA
22,73,1,59,134,BANANA
29,58,0,66,38,LEMON
21,63,1,62,26,APPLE
32,55,1,52,68,POMEGRANATE
29,61,1,56,148,ORANGE
26,68,1,19,73,MANGO
34,68,0,74,155,JAMUN
20,71,1,51,87,DRAGONFRUIT
20,50,1,66,84,MOUSAMBI
19,51,0,71,28,STRAWBERRY
22,66,0,71,61,STRAWBERRY
31,57,1,51,92,POMEGRANATE
24,74,1,60,14,KIWI
24,68,1,74,50,APPLE
19,73,1,72,65,KIWI
25,57,0,71,56,LEMON
28,71,1,27,86,MANGO
24,69,1,61,43,MOUSAMBI
32,62,1,54,81,GRAPE
28,63,1,73,147,ORANGE
29,52,0,67,82,LEMON
20,57,0,79,41,STRAWBERRY
33,77,0,78,125,JAMUN
29,54,0,58,10,LEMON
28,67,1,65,77,MOUSAMBI
13,71,1,65,51,BANANA
22,69,1,53,102,PEAR
21,62,1,69,30,APPLE
30,79,1,22,81,MANGO
44,67,1,62,70,GRAPE
28,76,1,32,42,MANGO
32,77,0,70,167,JAMUN
25,51,0,72,82,CHERRIES
40,64,1,67,40,GRAPE
25,57,1,60,132,ORANGE
30,41,1,61,96,POMEGRANATE
15,60,1,54,48,PEAR
24,42,1,76,25,POMEGRANATE
27,66,0,53,20,LEMON
14,63,1,70,52,KIWI
36,78,1,58,133,BANANA
22,69,0,68,44,LEMON
23,69,1,59,23,MOUSAMBI
24,51,0,54,19,LEMON
26,78,0,64,43,JAMUN
26,66,0,54,66,LEMON
22,74,1,63,91,DRAGONFRUIT
14,70,1,71,27,PEAR
15,60,1,75,29,KIWI
16,68,1,52,132,KIWI
14,60,1,71,112,KIWI
35,65,1,50,75,BANANA
26,56,0,72,50,BLUEBERRY
18,51,0,75,51,STRAWBERRY
29,56,1,54,76,MOUSAMBI
29,76,1,52,46,DRAGONFRUIT
30,51,1,61,134,ORANGE
23,61,1,60,36,APPLE
29,60,1,61,33,MOUSAMBI
30,51,1,56,25,GRAPE
30,77,1,16,16,MANGO
27,70,1,20,91,MANGO
28,65,1,66,57,DRAGONFRUIT
34,60,1,59,161,BANANA
19,59,0,75,14,STRAWBERRY
21,59,0,75,16,STRAWBERRY
21,61,1,50,22,APPLE
15,66,1,69,50,BANANA
30,74,1,27,36,MANGO
18,55,1,60,42,PEAR
28,55,1,55,36,MOUSAMBI
28,69,1,53,122,GUAVA
14,79,1,54,13,KIWI
25,78,0,78,170,JAMUN
26,66,1,61,64,GUAVA
24,78,1,50,98,BANANA
27,70,1,70,31,GRAPE
24,61,0,71,74,CHERRIES
30,50,1,64,88,GRAPE
24,68,1,57,199,GUAVA
26,52,1,65,60,MOUSAMBI
27,74,1,22,24,MANGO
29,76,1,64,98,DRAGONFRUIT
37,67,1,59,61,BANANA
23,64,1,74,136,GUAVA
30,75,1,56,92,DRAGONFRUIT
17,57,0,79,81,STRAWBERRY
31,60,1,61,73,POMEGRANATE
22,65,0,66,96,LEMON
28,62,1,52,62,MOUSAMBI
15,56,0,79,53,STRAWBERRY
27,60,0,71,21,BLUEBERRY
22,68,1,74,22,MOUSAMBI
24,74,1,20,55,MANGO
22,54,0,62,95,LEMON
26,61,1,56,71,ORANGE
24,71,1,50,11,GUAVA
28,76,1,25,88,MANGO
21,51,1,54,45,GRAPE
31,59,1,57,54,GRAPE
22,55,1,63,18,APPLE
33,65,0,67,180,JAMUN
23,60,0,78,19,STRAWBERRY
34,50,1,78,39,POMEGRANATE
15,53,1,72,185,PEAR
17,65,1,62,19,KIWI
20,56,0,61,49,CHERRIES
29,74,1,66,130,GUAVA
30,80,1,24,61,MANGO
23,66,0,58,59,LEMON
30,52,1,80,64,POMEGRANATE
28,65,1,58,54,MOUSAMBI
40,68,1,52,59,GRAPE
17,56,0,62,79,CHERRIES
23,74,1,70,96,GUAVA
30,44,1,66,51,POMEGRANATE
25,58,0,52,48,CHERRIES
23,55,1,63,47,GRAPE
27,51,1,68,13,ORANGE
28,75,1,21,70,MANGO
34,77,1,52,200,BANANA
20,65,1,64,80,DRAGONFRUIT
30,74,0,75,153,JAMUN
21,73,1,72,170,KIWI
24,67,1,60,17,APPLE
15,62,1,63,52,GRAPE
27,66,1,75,106,ORANGE
26,78,1,16,76,MANGO
21,60,1,74,154,PEAR
30,74,1,62,69,DRAGONFRUIT
20,78,1,65,68,DRAGONFRUIT
40,67,1,62,22,GRAPE
21,78,1,63,90,BANANA
39,50,1,57,97,GRAPE
22,75,1,65,113,GUAVA
17,55,0,75,58,STRAWBERRY
21,64,1,66,18,APPLE
28,66,1,58,30,GUAVA
29,69,1,50,95,MOUSAMBI
26,62,1,65,54,ORANGE
22,62,1,67,21,APPLE
16,57,0,75,97,STRAWBERRY
27,78,1,55,79,GUAVA
31,79,1,57,52,BANANA
26,67,0,64,40,BLUEBERRY
33,77,0,78,161,JAMUN
23,53,0,51,76,CHERRIES
26,51,1,57,180,ORANGE
23,56,1,62,50,APPLE
28,71,0,68,184,JAMUN
20,60,1,60,77,GUAVA
24,54,0,75,63,STRAWBERRY
18,67,1,66,45,PEAR
18,65,1,64,128,PEAR
25,56,0,54,58,LEMON
38,55,1,68,37,GRAPE
17,52,0,58,17,CHERRIES
18,68,1,65,70,BANANA
26,59,0,64,37,LEMON
17,58,0,54,68,BLUEBERRY
26,62,1,61,33,BANANA
30,61,1,54,98,DRAGONFRUIT
20,58,1,66,17,MOUSAMBI
23,67,1,54,97,DRAGONFRUIT
17,64,0,66,98,CHERRIES
44,67,1,55,94,GRAPE
22,65,1,62,178,BANANA
21,67,0,54,81,BLUEBERRY
28,64,1,22,67,MANGO
20,58,0,73,11,STRAWBERRY
36,64,1,55,145,BANANA
23,65,1,70,43,DRAGONFRUIT
23,62,0,54,42,LEMON
28,53,1,58,39,ORANGE
25,57,1,71,62,MOUSAMBI
30,70,0,61,96,LEMON
15,66,1,70,157,PEAR
21,67,1,53,64,GUAVA
23,70,1,66,60,KIWI
22,45,1,51,37,POMEGRANATE
28,74,1,53,40,GUAVA
24,54,0,69,41,CHERRIES
28,65,0,61,58,LEMON
28,79,1,54,92,GUAVA
29,75,1,29,92,MANGO
33,51,1,59,12,GRAPE
26,64,1,75,69,ORANGE
21,51,1,60,14,APPLE
26,54,1,61,48,POMEGRANATE
21,56,0,73,96,LEMON
33,73,1,63,61,BANANA
28,76,0,61,105,JAMUN
32,54,1,62,99,POMEGRANATE
25,55,0,59,36,LEMON
20,55,0,67,67,CHERRIES
14,69,1,57,102,KIWI
20,58,0,74,27,STRAWBERRY
20,52,0,55,10,LEMON
17,79,1,50,24,KIWI
31,67,0,76,105,JAMUN
15,68,1,59,41,BANANA
21,61,1,55,43,DRAGONFRUIT
15,69,1,57,188,BANANA
26,45,1,62,42,POMEGRANATE
30,64,1,61,46,GUAVA
30,56,1,60,170,ORANGE
23,62,1,56,47,KIWI
37,63,1,51,56,GRAPE
34,59,1,73,85,POMEGRANATE
28,67,1,50,17,DRAGONFRUIT
20,60,1,56,89,MOUSAMBI
24,60,0,70,17,STRAWBERRY
23,73,1,74,115,GUAVA
26,62,1,70,17,ORANGE
24,66,1,55,10,MOUSAMBI
22,68,0,80,87,STRAWBERRY
20,62,0,55,46,CHERRIES
26,65,1,59,35,ORANGE
23,69,1,68,133,PEAR
15,78,1,54,105,BANANA
34,64,1,58,192,BANANA
23,55,1,64,50,APPLE
20,62,1,62,116,GUAVA
30,65,0,71,51,JAMUN
16,68,1,62,195,PEAR
23,66,1,56,19,PEAR
16,67,1,59,11,GRAPE
14,55,1,75,89,PEAR
26,56,1,55,13,GRAPE
20,60,0,61,90,LEMON
22,66,0,67,13,LEMON
28,56,1,60,23,POMEGRANATE
24,53,0,57,76,CHERRIES
27,57,1,58,123,ORANGE
22,61,1,57,22,APPLE
16,64,0,78,83,STRAWBERRY
28,50,0,64,95,BLUEBERRY
20,61,0,65,98,BLUEBERRY
37,60,1,60,84,GRAPE
17,56,0,73,56,BLUEBERRY
32,53,1,60,68,POMEGRANATE
15,66,0,73,16,STRAWBERRY
28,66,1,62,131,GUAVA
25,65,1,57,76,MOUSAMBI
17,50,0,72,15,STRAWBERRY
22,77,1,50,89,DRAGONFRUIT
23,64,1,54,70,MOUSAMBI
17,70,1,63,98,BANANA
19,62,0,73,82,CHERRIES
23,78,1,53,12,DRAGONFRUIT
20,67,1,69,18,GUAVA
28,59,0,56,26,LEMON
29,63,1,65,192,GUAVA
22,70,1,52,156,GUAVA
26,68,0,70,58,LEMON
30,60,0,60,75,BLUEBERRY
22,79,1,74,45,GUAVA
23,63,1,73,37,APPLE
27,79,1,50,69,DRAGONFRUIT
28,63,1,51,69,ORANGE
31,72,0,62,182,JAMUN
24,56,1,74,44,MOUSAMBI
16,74,1,62,118,BANANA
15,53,0,75,71,STRAWBERRY
23,61,0,52,45,LEMON
29,71,0,62,10,JAMUN
22,63,1,75,97,MOUSAMBI
29,60,1,65,157,GUAVA
17,52,1,69,89,GRAPE
17,63,0,70,63,CHERRIES
23,63,0,75,73,STRAWBERRY
44,66,1,59,45,GRAPE
25,45,1,52,65,POMEGRANATE
20,76,1,59,130,BANANA
21,68,1,55,95,GUAVA
18,67,0,72,29,STRAWBERRY
29,57,0,69,35,BLUEBERRY
28,68,0,69,11,BLUEBERRY
23,76,1,54,14,DRAGONFRUIT
18,79,1,56,68,KIWI
15,70,1,74,70,KIWI
26,65,1,63,122,ORANGE
24,63,1,52,43,MOUSAMBI
30,67,1,69,146,ORANGE
29,78,1,31,71,MANGO
28,54,1,57,60,MOUSAMBI
23,64,1,73,34,MOUSAMBI
18,61,0,66,52,CHERRIES
29,66,0,78,34,JAMUN
25,71,1,24,82,MANGO
37,50,1,50,84,GRAPE
22,51,1,69,19,APPLE
34,73,0,75,22,JAMUN
21,76,1,59,42,DRAGONFRUIT
32,60,1,78,70,POMEGRANATE
24,63,1,54,53,KIWI
21,59,1,50,71,POMEGRANATE
22,77,1,75,108,KIWI
29,64,1,62,101,ORANGE
27,76,1,20,64,MANGO
28,62,1,70,95,DRAGONFRUIT
28,74,1,66,95,DRAGONFRUIT
21,68,1,68,153,GUAVA
14,72,1,50,61,KIWI
35,45,1,51,36,POMEGRANATE
20,51,0,58,62,CHERRIES
20,68,1,60,84,DRAGONFRUIT
25,50,0,67,60,LEMON
26,54,1,67,48,MOUSAMBI
30,58,1,63,56,GRAPE
21,57,1,57,47,APPLE
28,77,1,20,93,MANGO
24,53,0,58,93,CHERRIES
16,56,0,58,47,CHERRIES
24,58,0,64,25,BLUEBERRY
26,51,1,66,22,POMEGRANATE
23,57,1,63,42,APPLE
27,79,1,29,81,MANGO
24,72,1,16,86,MANGO
17,68,0,75,68,STRAWBERRY
20,62,1,50,117,GUAVA
21,55,1,50,77,POMEGRANATE
36,59,1,67,13,GRAPE
21,75,1,57,112,GUAVA
26,52,0,74,16,LEMON
30,60,1,29,99,MANGO
30,51,0,61,16,LEMON
20,51,0,74,66,STRAWBERRY
27,70,0,64,63,JAMUN
23,68,1,72,34,APPLE
22,62,0,72,96,STRAWBERRY
26,54,0,68,22,LEMON
22,54,1,73,68,MOUSAMBI
23,46,1,50,15,POMEGRANATE
30,73,1,74,156,GUAVA
31,78,0,60,189,JAMUN
25,57,1,57,48,POMEGRANATE
23,64,0,58,22,CHERRIES
29,67,1,67,38,DRAGONFRUIT
27,74,1,68,111,GUAVA
30,67,0,72,11,BLUEBERRY
21,60,1,67,50,GRAPE
24,73,1,59,87,GUAVA
23,52,1,54,21,PEAR
29,59,0,69,91,LEMON
29,67,1,50,71,ORANGE
20,65,0,73,89,BLUEBERRY
29,57,0,55,53,BLUEBERRY
29,78,1,34,88,MANGO
28,75,0,70,16,JAMUN
35,54,1,60,57,GRAPE
15,60,0,55,55,CHERRIES
23,57,0,77,72,STRAWBERRY
26,62,1,20,17,MANGO
22,57,0,66,33,LEMON
21,53,1,69,43,APPLE
28,76,1,24,93,MANGO
19,77,1,68,131,BANANA
27,67,1,69,71,DRAGONFRUIT
28,56,0,70,94,LEMON
24,64,0,70,22,STRAWBERRY
16,69,0,63,13,BLUEBERRY
18,64,0,74,82,CHERRIES
15,58,0,64,89,CHERRIES
31,71,0,80,27,JAMUN
22,56,0,58,32,CHERRIES
28,63,1,50,19,MOUSAMBI
18,79,1,62,108,KIWI
18,68,1,60,86,GRAPE
26,66,1,70,19,MOUSAMBI
21,61,1,70,67,DRAGONFRUIT
24,57,1,72,13,APPLE
35,45,1,59,58,POMEGRANATE
16,59,0,73,49,BLUEBERRY
14,67,1,64,47,KIWI
16,56,0,72,51,BLUEBERRY
29,73,1,25,59,MANGO
22,57,1,66,38,MOUSAMBI
25,51,0,56,64,BLUEBERRY
20,69,1,63,85,DRAGONFRUIT
22,66,0,66,53,LEMON
23,64,1,55,39,APPLE
34,68,1,70,77,BANANA
26,63,1,71,19,MOUSAMBI
23,70,0,53,60,BLUEBERRY
16,69,1,53,36,PEAR
20,67,1,62,46,DRAGONFRUIT
22,54,0,59,52,LEMON
24,60,1,34,53,MANGO
24,77,1,56,84,DRAGONFRUIT
17,63,1,51,117,PEAR
37,59,1,66,15,GRAPE
40,69,1,67,79,GRAPE
22,50,0,78,50,STRAWBERRY
27,76,1,27,44,MANGO
23,63,1,58,22,MOUSAMBI
24,73,1,34,47,MANGO
30,62,1,52,131,ORANGE
26,68,1,52,37,MOUSAMBI
26,61,0,64,138,JAMUN
22,66,1,66,156,BANANA
24,59,1,72,13,APPLE
19,50,0,76,48,STRAWBERRY
26,70,1,67,37,DRAGONFRUIT
14,51,1,52,136,PEAR
28,62,1,54,15,GUAVA
25,53,0,51,42,LEMON
27,71,0,62,121,JAMUN
23,58,1,74,40,APPLE
27,78,1,66,180,GUAVA
29,52,1,53,34,POMEGRANATE
26,63,1,65,194,GUAVA
27,58,1,59,53,GRAPE
16,62,0,72,40,STRAWBERRY
34,64,1,56,89,GRAPE
25,67,1,62,74,BANANA
27,52,1,53,143,ORANGE
23,56,1,58,89,POMEGRANATE
19,56,0,52,72,CHERRIES
17,74,1,61,43,KIWI
14,77,1,66,57,KIWI
31,61,1,65,129,BANANA
20,75,1,60,24,KIWI
17,75,1,56,50,KIWI
29,72,1,70,86,BANANA
26,64,1,51,68,DRAGONFRUIT
15,71,1,61,110,KIWI
28,67,1,51,83,MOUSAMBI
27,61,0,67,35,LEMON
25,67,1,51,77,MOUSAMBI
23,60,1,60,11,APPLE
21,77,1,50,88,KIWI
15,51,0,78,35,STRAWBERRY
26,60,1,58,42,POMEGRANATE
34,52,1,51,80,POMEGRANATE
22,68,0,71,21,STRAWBERRY
26,52,1,77,100,POMEGRANATE
21,54,1,62,129,PEAR
29,70,1,72,143,ORANGE
31,64,1,61,50,GRAPE
18,63,0,76,99,STRAWBERRY
24,58,0,53,72,BLUEBERRY
27,55,1,52,90,ORANGE
21,51,0,64,93,BLUEBERRY
22,68,1,71,43,APPLE
21,63,1,71,146,KIWI
17,67,0,78,14,STRAWBERRY
19,79,1,70,18,KIWI
34,74,0,79,69,JAMUN
26,51,1,57,67,POMEGRANATE
15,51,1,55,107,PEAR
27,74,1,23,64,MANGO
18,56,0,66,19,CHERRIES
17,59,0,50,74,CHERRIES
22,77,1,52,78,DRAGONFRUIT
25,65,1,62,59,ORANGE
27,75,0,65,34,JAMUN
21,64,1,55,40,APPLE
30,58,1,51,78,POMEGRANATE
16,70,0,73,59,STRAWBERRY
21,63,1,56,67,GRAPE
30,69,0,74,83,JAMUN
